index	return	risk	AAPL	SPY	TSLA	DIS	NVDA	HON
0	0.012987763118	0.033538527229	0.339203561481	0.309327927458	0.000000000000	0.000000000000	0.000000000000	0.351468511062
1	0.013413221418	0.033550351812	0.352676897239	0.326213604499	0.000000000000	0.000000000000	0.000095733135	0.321013765128
2	0.013838679726	0.033888738967	0.371481095344	0.324759063503	0.000000000000	0.018556558310	0.000000000000	0.285203282844
3	0.014264138016	0.034086506117	0.376471288043	0.329899065277	0.000000000000	0.006180465761	0.007607214474	0.279841966444
4	0.014689596306	0.034354818903	0.376652402257	0.328457472621	0.000000000000	0.003295554164	0.016639540013	0.274955030945
5	0.015115054611	0.034626871737	0.376415174026	0.328107219862	0.000000000000	0.000000000000	0.025594758090	0.269882848022
6	0.015540512916	0.034922144500	0.373895108653	0.326232941383	0.000082379250	0.000000000000	0.034963659297	0.264825911417
7	0.015965971213	0.030359515456	0.130863844648	0.789781795412	0.000000000000	0.000000000000	0.000000000000	0.079354359940
8	0.016391429513	0.030505391852	0.086441654109	0.875833149093	0.000000000000	0.000000000000	0.000000000000	0.037725196799
9	0.016816887788	0.030503859966	0.112204129291	0.878506311863	0.000000000000	0.000000000000	0.000000000000	0.009289558845
10	0.017242346053	0.030783127985	0.150223248818	0.843246689679	0.006530061503	0.000000000000	0.000000000000	0.000000000000
11	0.017667804392	0.031357499245	0.189891536227	0.794398605437	0.011055866730	0.000000000000	0.004653991606	0.000000000000
12	0.018093262697	0.032045882584	0.225068119129	0.750347456865	0.011737149347	0.000000000000	0.012847274659	0.000000000000
13	0.018518720997	0.032766813559	0.252059568730	0.713666825242	0.014452919719	0.000000000000	0.019820686308	0.000000000000
14	0.018944179307	0.033448280367	0.270827839723	0.684868400218	0.016064099122	0.000000000000	0.028239660937	0.000000000000
15	0.019369637604	0.034118515304	0.286190488297	0.659257840730	0.017722601411	0.000000000000	0.036829069562	0.000000000000
16	0.019795095898	0.034791553543	0.299977235713	0.635070093190	0.019748074092	0.000000000000	0.045204597006	0.000000000000
17	0.020220554200	0.034433293859	0.171702515184	0.742686818846	0.031486577306	0.000000000000	0.054124088664	0.000000000000
18	0.020646012524	0.035004044441	0.172037876940	0.730944506832	0.034660879390	0.000000000000	0.062356736837	0.000000000000
19	0.021071470801	0.035590210376	0.169947964791	0.721816872539	0.035597152571	0.000000000000	0.072638010099	0.000000000000
20	0.021496929101	0.036180609432	0.168184435627	0.711645663796	0.041396205784	0.000000000000	0.078773694794	0.000000000000
21	0.021922387399	0.036782847373	0.174995844954	0.693704290471	0.045384633577	0.000000000000	0.085915230997	0.000000000000
22	0.022347845688	0.037395695484	0.177777671542	0.679642271184	0.048720616895	0.000000000000	0.093859440380	0.000000000000
23	0.022773304007	0.038017490871	0.180561500909	0.665581401880	0.052036620128	0.000000000000	0.101820477082	0.000000000000
24	0.023198762298	0.038647865847	0.182385950023	0.652442718626	0.055206702563	0.000000000000	0.109964628788	0.000000000000
25	0.023624220596	0.040588953357	0.364617329297	0.472136641333	0.044631005015	0.000000000000	0.118615024355	0.000000000000
26	0.024049678896	0.041212131915	0.367188578353	0.458225634919	0.048273931672	0.000000000000	0.126311855055	0.000000000000
27	0.024475137192	0.041822589205	0.368344972561	0.445722141447	0.051388333815	0.000000000000	0.134544552177	0.000000000000
28	0.024900595494	0.042433366950	0.368898247255	0.433770555311	0.054594528345	0.000000000000	0.142736669089	0.000000000000
29	0.025326053793	0.043034586121	0.368105259890	0.423244606524	0.056728291113	0.000000000000	0.151921842474	0.000000000000
30	0.025751512091	0.042588321421	0.195559650136	0.571485912190	0.074460674810	0.000000000000	0.158493762864	0.000000000000
31	0.026176970392	0.044265922717	0.366552786031	0.401793994385	0.063417967488	0.000000000000	0.168235252097	0.000000000000
32	0.026602428691	0.044922623668	0.368202925353	0.388569728171	0.068230894834	0.000000000000	0.174996451642	0.000000000000
33	0.027027886990	0.045528805316	0.364845479066	0.380140304751	0.072404834856	0.000000000000	0.182609381327	0.000000000000
34	0.027453345289	0.046156758352	0.362623318236	0.370872837118	0.075081487291	0.000000000000	0.191422357355	0.000000000000
35	0.027878803588	0.046788578548	0.359880714968	0.362025905700	0.078204771737	0.000000000000	0.199888607595	0.000000000000
36	0.028304261888	0.047424861048	0.356646985702	0.353647880885	0.081274317957	0.000000000000	0.208430815456	0.000000000000
37	0.028729720192	0.048057139995	0.351701464559	0.347018979226	0.083399646443	0.000000000000	0.217879909773	0.000000000000
38	0.029155178505	0.048836978647	0.356535898116	0.328505192379	0.103394474154	0.000000000000	0.211564435351	0.000000000000
39	0.029580636761	0.049448070700	0.353700819225	0.320880738214	0.099027987270	0.000000000000	0.226390455292	0.000000000000
40	0.030006095062	0.050106576995	0.350478651862	0.313477336953	0.095598609249	0.000000000000	0.240445401936	0.000000000000
41	0.030431553405	0.050799085596	0.346902221961	0.306271187267	0.093060211232	0.000000000000	0.253766379539	0.000000000000
42	0.030857011683	0.051382598514	0.330645278073	0.307638704897	0.112434614704	0.000000000000	0.249281402326	0.000000000000
43	0.031282469982	0.052073767672	0.327762588285	0.299059870595	0.114656578345	0.000000000000	0.258520962776	0.000000000000
44	0.031707928278	0.052769451223	0.323996018834	0.291204870038	0.117573579644	0.000000000000	0.267225531484	0.000000000000
45	0.032133386577	0.053471247597	0.319839375193	0.283665622107	0.120821649101	0.000000000000	0.275673353599	0.000000000000
46	0.032558844878	0.054179816410	0.315514662735	0.276257677655	0.124243641712	0.000000000000	0.283984017898	0.000000000000
