date	AAPL	SPY	TSLA	DIS	NVDA	HON
2024-02-29	-0.01854311030491851	0.05218684843910326	0.07790064669600238	0.16168665562011508	0.2858095004489467	-0.012052131114208109
2024-03-28	-0.05128647471306702	0.03270210954965114	-0.12923524353897475	0.09661218871502486	0.14218116396868052	0.03280806460736829
2024-04-30	-0.006706180998797939	-0.04031967945514814	0.042607689739043275	-0.09202355133806583	-0.0437602004476938	-0.06099869727449392
2024-05-31	0.13022216273509768	0.05057970997391559	-0.02837187354253501	-0.06471641323418675	0.26887098622338557	0.054638762682737374
2024-06-28	0.09555269536072286	0.03528004425537823	0.11118599982126098	-0.044461516818877556	0.1269430389119881	0.05613525132275132
2024-07-31	0.054410866053677065	0.01210917131402578	0.17278149180183244	-0.052047192280682775	-0.052776502132406145	-0.041163249005167435
2024-08-30	0.0323534414758222	0.02336543557487114	-0.0773904690267696	-0.035329292392008216	0.020082207316944434	0.02098969961265107
2024-09-30	0.017467253882635703	0.02100477413806412	0.22194201175563144	0.06428414794245563	0.01742793764353201	-0.005771670932398276
2024-10-31	-0.03042926007566582	-0.008923558620233862	-0.045025412068364745	0.00010390741832910777	0.09321481599911108	-0.00498283949549938
2024-11-29	0.051706993026942705	0.059633412885955694	0.3814688622385136	0.22110200006636505	0.04135287731151904	0.1380624562423347
2024-12-31	0.05515528335409692	-0.024060081874675232	0.17000808915631316	-0.04789831198002947	-0.02857688276498027	-0.03022369713363615
2025-01-31	-0.057583246142005495	0.026856408076720406	0.0018819576379678349	0.015357017296232067	-0.10589022600982023	-0.009606445728594593
2025-02-28	0.0258724181424006	-0.012694837033450312	-0.2758773935575025	0.0065452417757714265	0.04039307943452175	-0.04331588988748736
2025-03-31	-0.08150013035594195	-0.05571919586383445	-0.11543452131892018	-0.1326889602273188	-0.13232494984280385	-0.005354880647532423
2025-04-30	-0.04335299480241872	-0.008670229175496758	0.08874826236685496	-0.07852077883904407	0.00498246673855296	-0.005903275064207181
2025-05-30	-0.05358405947543121	0.0628449068528063	0.2278848417863253	0.24288077184171386	0.2406354284372363	0.08231903983620392
2025-06-30	0.021508534553317693	0.051386188205714056	-0.08312644606383923	0.10172355377921116	0.16925161444649373	0.02739660233046748
2025-07-31	0.01169769554123401	0.023031507308652444	-0.02955995259140498	-0.03951296636408386	0.1258306752145033	-0.04521630074650951
2025-08-29	0.11963886127221124	0.02051959125720848	0.08304410748975077	-0.006128818557371241	-0.02074551060599117	-0.007678729440862897
2025-09-30	0.09688124576734469	0.03562036952182912	0.33201547825406585	-0.03277576661395665	0.0712511480639062	-0.04100224494605187
2025-10-31	0.061815142948609125	0.023837458474752493	0.026623485126352042	-0.01641919043320006	0.0852717578256561	0.014779747525315967
2025-11-28	0.032364264712395396	0.0019499283249213573	-0.05780178787448975	-0.07236726294895679	-0.1258827854186917	-0.039680519824706106
2025-12-31	-0.025067314322949175	0.000797497311368911	0.045447119005781245	0.09638889413765939	0.0537309989476884	0.015089202662186052
