date	AAPL	SPY	TSLA	DIS	NVDA	HON
2024-01-31	182.67483520507812	471.2306213378906	187.2899932861328	94.14595794677734	61.49274444580078	182.65782165527344
2024-02-29	179.2874755859375	495.8226623535156	201.8800048828125	109.36810302734375	79.06795501708984	180.45640563964844
2024-03-28	170.0924530029297	512.037109375	175.7899932861328	119.93439483642578	90.30992889404297	186.3768310546875
2024-04-30	168.9517822265625	491.3919372558594	183.27999877929688	108.8976058959961	86.35794830322266	175.00808715820312
2024-05-31	190.9530487060547	516.2463989257812	178.0800018310547	101.85014343261719	109.57709503173828	184.5703125
2024-06-28	209.19912719726562	534.4595947265625	197.8800048828125	97.32173156738281	123.48714447021484	194.93121337890625
2024-07-31	220.5818328857422	540.9314575195312	232.07000732421875	92.25640869140625	116.96992492675781	186.90721130371094
2024-08-30	227.71841430664062	553.570556640625	214.11000061035156	88.99705505371094	119.31893920898438	190.83033752441406
2024-09-30	231.69602966308594	565.1981811523438	261.6300048828125	94.71815490722656	121.39842224121094	189.7289276123047
2024-10-31	224.64569091796875	560.1546020507812	249.85000610351562	94.72799682617188	132.7145538330078	188.78353881835938
2024-11-29	236.26144409179688	593.5585327148438	345.1600036621094	115.67254638671875	138.2026824951172	214.8474578857422
2024-12-31	249.29251098632812	579.2774658203125	403.8399963378906	110.13202667236328	134.25328063964844	208.35397338867188
2025-01-31	234.93743896484375	594.8347778320312	404.6000061035156	111.82332611083984	120.03717041015625	206.35243225097656
2025-02-28	241.01583862304688	587.283447265625	292.9800109863281	112.55523681640625	124.8858413696289	197.41409301757812
2025-03-31	221.37301635742188	554.5604858398438	259.1600036621094	97.62039947509766	108.3603286743164	196.35696411132812
2025-04-30	211.7758331298828	549.7523193359375	282.1600036621094	89.95516967773438	108.90023040771484	195.19781494140625
2025-05-30	200.4280242919922	584.3014526367188	346.4599914550781	111.80355072021484	135.10548400878906	211.2663116455078
2025-06-30	204.7389373779297	614.3264770507812	317.6600036621094	123.17660522460938	157.97230529785156	217.05429077148438
2025-07-31	207.1339111328125	628.475341796875	308.2699890136719	118.30953216552734	177.85006713867188	207.23989868164062
2025-08-29	231.91517639160156	641.3713989257812	333.8699951171875	117.58443450927734	174.1604766845703	205.6485595703125
2025-09-30	254.38340759277344	664.21728515625	444.7200012207031	113.73051452636719	186.56961059570312	197.2165069580078
2025-10-31	270.108154296875	680.050537109375	456.55999755859375	111.86315155029297	202.47872924804688	200.13131713867188
2025-11-28	278.8500061035156	681.3765869140625	430.1700134277344	103.7679214477539	176.99014282226562	192.19000244140625
2025-12-31	271.8599853515625	681.9199829101562	449.7200012207031	113.7699966430664	186.5	195.08999633789062
